composition,target,S.r.a-S.r.b,M.e.ao,S.m.a,M.e/S.r,S.r*S.v,S.p*S.x,S.x.ca-S.x.ai,"sqrt(M.r,S.r)"
(La0.2Nd0.2Sm0.2Eu0.2Y0.2)2Zr2O7,0.83,0.322652389,0.391304348,0.411195269,0.914432812,0.131436742,0.01,0.051803028,0.508262234
(La0.2Nd0.2Sm0.2Eu0.2Y0.2)2Zr2O7,1.03,0.322652389,0.391304348,0.411195269,0.914432812,0.131436742,0.01,0.051803028,0.508262234
(La0.2Sm0.2Eu0.2Gd0.2Tm0.2)2Zr2O7,0.23,0.370257317,0.495652174,0.171375116,0.916141081,0.107155575,0.099309229,0.044174825,0.462324339
(La0.2Sm0.2Eu0.2Gd0.2Tm0.2)2Zr2O7,0.13,0.370257317,0.495652174,0.171375116,0.916141081,0.107155575,0.099309229,0.044174825,0.462324339
(La0.2Sm0.2Eu0.2Gd0.2Tm0.2)2Zr2O7,0.33,0.370257317,0.495652174,0.171375116,0.916141081,0.107155575,0.099309229,0.044174825,0.462324339
(La0.2Sm0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,1.92,0.389158374,0.27826087,0.19494365,0.819788912,0.130357523,0.040127415,0.072073498,0.458340459
(La0.2Sm0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,1.82,0.389158374,0.27826087,0.19494365,0.819788912,0.130357523,0.040127415,0.072073498,0.458340459
(La0.2Sm0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,2.02,0.389158374,0.27826087,0.19494365,0.819788912,0.130357523,0.040127415,0.072073498,0.458340459
(La0.2Nd0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,1.97,0.406031502,0.239130435,0.206912989,0.802368222,0.130875335,0.026724974,0.078609625,0.477805413
(La0.2Nd0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,1.87,0.406031502,0.239130435,0.206912989,0.802368222,0.130875335,0.026724974,0.078609625,0.477805413
(La0.2Nd0.2Eu0.2Gd0.2Yb0.2)2Zr2O7,2.07,0.406031502,0.239130435,0.206912989,0.802368222,0.130875335,0.026724974,0.078609625,0.477805413
(Sm0.2Eu0.2Tb0.2Dy0.2Lu0.2)2Zr2O7,1.45,0.241834764,0.582608696,0.154600531,0.956200366,0.109133528,0.193844683,0.052789739,0.357538515
(Sm0.2Eu0.2Tb0.2Dy0.2Lu0.2)2Zr2O7,1.35,0.241834764,0.582608696,0.154600531,0.956200366,0.109133528,0.193844683,0.052789739,0.357538515
(Sm0.2Eu0.2Tb0.2Dy0.2Lu0.2)2Zr2O7,1.55,0.241834764,0.582608696,0.154600531,0.956200366,0.109133528,0.193844683,0.052789739,0.357538515
